ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,date,date_k
000001.SZ,20221108,10.89,10.92,10.78,10.85,10.88,-0.03,-0.2757,583222.05,632835.805,2022-11-08,27797760.0
600031.SH,20221108,15.26,15.39,14.9,15.04,15.27,-0.23,-1.5062,607529.33,912557.242,2022-11-08,27797760.0
600900.SH,20221108,20.17,20.34,19.95,20.05,20.14,-0.09,-0.4469,788151.26,1586942.815,2022-11-08,27797760.0
601166.SH,20221108,15.46,15.51,15.36,15.45,15.47,-0.02,-0.1293,367946.54,567525.615,2022-11-08,27797760.0
000001.SZ,20221107,10.81,10.91,10.73,10.88,10.82,0.06,0.5545,988082.04,1070554.833,2022-11-07,27796320.0
600031.SH,20221107,15.3,15.39,15.15,15.27,15.36,-0.09,-0.5859,530234.95,808452.06,2022-11-07,27796320.0
600900.SH,20221107,20.05,20.23,19.97,20.14,20.14,0.0,0.0,694657.83,1396309.691,2022-11-07,27796320.0
601166.SH,20221107,15.35,15.57,15.3,15.47,15.43,0.04,0.2592,513675.57,793695.538,2022-11-07,27796320.0
000001.SZ,20221104,10.4,10.85,10.39,10.82,10.44,0.38,3.6398,1776112.23,1903720.944,2022-11-04,27792000.0
600031.SH,20221104,15.19,15.55,15.11,15.36,15.21,0.15,0.9862,845752.12,1294906.292,2022-11-04,27792000.0
600900.SH,20221104,19.86,20.27,19.75,20.14,19.98,0.16,0.8008,848833.2,1706198.646,2022-11-04,27792000.0
601166.SH,20221104,15.1,15.5,15.09,15.43,15.14,0.29,1.9155,748388.92,1151835.521,2022-11-04,27792000.0
000001.SZ,20221103,10.54,10.57,10.38,10.44,10.63,-0.19,-1.7874,983535.61,1028904.286,2022-11-03,27790560.0
600031.SH,20221103,15.0,15.38,14.97,15.21,15.16,0.05,0.3298,774583.52,1179578.479,2022-11-03,27790560.0
600900.SH,20221103,20.35,20.37,19.89,19.98,20.46,-0.48,-2.346,746451.83,1497487.444,2022-11-03,27790560.0
601166.SH,20221103,15.27,15.3,15.09,15.14,15.35,-0.21,-1.3681,458617.08,695721.24,2022-11-03,27790560.0
000001.SZ,20221102,10.61,10.68,10.48,10.63,10.67,-0.04,-0.3749,1302988.18,1377816.22,2022-11-02,27789120.0
600031.SH,20221102,14.88,15.48,14.76,15.16,14.85,0.31,2.0875,1535249.11,2333811.383,2022-11-02,27789120.0
600900.SH,20221102,20.3,20.52,20.05,20.46,20.32,0.14,0.689,761920.04,1545827.645,2022-11-02,27789120.0
601166.SH,20221102,15.32,15.4,15.2,15.35,15.42,-0.07,-0.454,598258.7,914850.976,2022-11-02,27789120.0
000001.SZ,20221101,10.38,10.68,10.36,10.67,10.34,0.33,3.1915,1381234.13,1459758.367,2022-11-01,27787680.0
600031.SH,20221101,13.54,14.85,13.43,14.85,13.5,1.35,10.0,1542831.48,2201988.573,2022-11-01,27787680.0
600900.SH,20221101,20.25,20.41,19.96,20.32,20.26,0.06,0.2962,961428.8,1943323.944,2022-11-01,27787680.0
601166.SH,20221101,15.1,15.44,15.09,15.42,15.03,0.39,2.5948,674258.08,1029060.225,2022-11-01,27787680.0
000001.SZ,20221031,10.33,10.45,10.22,10.34,10.42,-0.08,-0.7678,983095.69,1016230.012,2022-10-31,27786240.0
600031.SH,20221031,13.99,13.99,13.3,13.5,14.36,-0.86,-5.9889,1195598.95,1616939.689,2022-10-31,27786240.0
600900.SH,20221031,20.29,20.7,20.01,20.26,20.68,-0.42,-2.0309,983389.56,2000824.789,2022-10-31,27786240.0
601166.SH,20221031,15.0,15.15,14.91,15.03,15.06,-0.03,-0.1992,576493.86,865894.098,2022-10-31,27786240.0
000001.SZ,20221028,10.63,10.7,10.41,10.42,10.68,-0.26,-2.4345,1057947.01,1114999.302,2022-10-28,27781920.0
600031.SH,20221028,14.7,14.82,14.3,14.36,14.82,-0.46,-3.1039,564593.23,820685.792,2022-10-28,27781920.0
600900.SH,20221028,20.99,21.25,20.59,20.68,20.99,-0.31,-1.4769,996986.86,2083046.934,2022-10-28,27781920.0
601166.SH,20221028,15.22,15.33,15.01,15.06,15.25,-0.19,-1.2459,568470.8,860459.133,2022-10-28,27781920.0
000001.SZ,20221027,10.7,10.77,10.66,10.68,10.66,0.02,0.1876,957383.46,1024868.047,2022-10-27,27780480.0
600031.SH,20221027,14.8,14.95,14.65,14.82,14.71,0.11,0.7478,557331.66,826988.034,2022-10-27,27780480.0
600900.SH,20221027,22.02,22.19,20.88,20.99,22.01,-1.02,-4.6343,1075023.38,2284666.748,2022-10-27,27780480.0
601166.SH,20221027,15.29,15.44,15.24,15.25,15.23,0.02,0.1313,462966.04,708788.423,2022-10-27,27780480.0
000001.SZ,20221026,10.64,10.73,10.61,10.66,10.65,0.01,0.0939,1143829.88,1220733.278,2022-10-26,27779040.0
600031.SH,20221026,14.5,14.84,14.5,14.71,14.41,0.3,2.0819,555922.98,815744.942,2022-10-26,27779040.0
601166.SH,20221026,15.36,15.48,15.18,15.23,15.36,-0.13,-0.8464,585753.58,897518.627,2022-10-26,27779040.0
000001.SZ,20221025,10.7,10.81,10.6,10.65,10.62,0.03,0.2825,1316979.4,1406437.766,2022-10-25,27777600.0
600031.SH,20221025,14.2,14.71,14.2,14.41,14.15,0.26,1.8375,780903.54,1127852.872,2022-10-25,27777600.0
600900.SH,20221025,22.0,22.3,21.91,22.01,21.83,0.18,0.8246,513414.75,1134410.507,2022-10-25,27777600.0
601166.SH,20221025,15.43,15.53,15.28,15.36,15.3,0.06,0.3922,723392.25,1113709.655,2022-10-25,27777600.0
000001.SZ,20221024,11.09,11.1,10.61,10.62,11.09,-0.47,-4.2381,1383390.65,1496043.94,2022-10-24,27776160.0
600031.SH,20221024,14.51,14.95,14.06,14.15,14.49,-0.34,-2.3464,779585.3,1126763.107,2022-10-24,27776160.0
600900.SH,20221024,22.39,22.59,21.71,21.83,22.41,-0.58,-2.5881,718728.08,1586119.858,2022-10-24,27776160.0
601166.SH,20221024,15.99,16.05,15.26,15.3,15.99,-0.69,-4.3152,1157427.76,1799947.778,2022-10-24,27776160.0
000001.SZ,20221021,11.21,11.25,11.07,11.09,11.2,-0.11,-0.9821,785574.29,876648.491,2022-10-21,27771840.0
600031.SH,20221021,14.65,14.9,14.47,14.49,14.56,-0.07,-0.4808,458859.59,674800.224,2022-10-21,27771840.0
600900.SH,20221021,22.29,22.6,22.21,22.41,22.34,0.07,0.3133,610416.03,1368536.927,2022-10-21,27771840.0
601166.SH,20221021,16.11,16.21,15.97,15.99,16.09,-0.1,-0.6215,496712.9,797771.429,2022-10-21,27771840.0
000001.SZ,20221020,11.23,11.31,11.16,11.2,11.29,-0.09,-0.7972,781923.23,876967.151,2022-10-20,27770400.0
600031.SH,20221020,14.52,14.8,14.45,14.56,14.63,-0.07,-0.4785,349700.5,510845.363,2022-10-20,27770400.0
600900.SH,20221020,22.33,22.49,22.24,22.34,22.37,-0.03,-0.1341,368154.63,822733.367,2022-10-20,27770400.0
